,title,final,vote_average
50,Pie in the Sky,Comedy Romance JoshCharles AnneHeche JohnGoodman BryanGordon,6.6
51,Sonic Outlaws,Music Documentary LloydDunn ChrisGrigg MarkHosler CraigBaldwin,7.4
52,The Birdcage,Comedy RobinWilliams GeneHackman NathanLane MikeNichols,7.027
53,Bad Boys,Action Comedy Crime Thriller WillSmith MartinLawrence TéaLeoni MichaelBay,6.783
54,The Basketball Diaries,Drama Crime LeonardoDiCaprio LorraineBracco JamesMadio ScottKalvert,7.387
55,Apollo 13,Drama TomHanks BillPaxton KevinBacon RonHoward,7.44
56,Rob Roy,Adventure LiamNeeson JessicaLange JohnHurt MichaelCaton-Jones,6.736
57,The Addiction,Drama Horror LiliTaylor ChristopherWalken AnnabellaSciorra AbelFerrara,6.509
58,Beyond Rangoon,Drama Thriller PatriciaArquette FrancesMcDormand UAungKo JohnBoorman,6.674
59,Blue in the Face,Comedy HarveyKeitel LouReed MichaelJ.Fox PaulAuster,6.652
60,Clockers,Mystery Crime Drama HarveyKeitel JohnTurturro DelroyLindo SpikeLee,6.846
61,Crimson Tide,Action Thriller Drama DenzelWashington GeneHackman MattCraven TonyScott,7.158
62,Crumb,Documentary RobertCrumb AlineKominsky CharlesCrumb TerryZwigoff,7.6
63,Desperado,Thriller Action Crime AntonioBanderas SalmaHayek JoaquimdeAlmeida RobertRodriguez,6.901
64,Die Hard: With a Vengeance,Action Thriller BruceWillis JeremyIrons SamuelL.Jackson JohnMcTiernan,7.246
65,Jeffrey,Comedy Drama Romance StevenWeber PatrickStewart MichaelT.Weiss ChristopherAshley,6.6
66,Kids,Drama Crime LeoFitzpatrick RosarioDawson ChloëSevigny LarryClark,6.9
67,Living in Oblivion,Drama Comedy SteveBuscemi CatherineKeener DermotMulroney TomDiCillo,7.165
68,Mallrats,Romance Comedy JasonLee JeremyLondon ShannenDoherty KevinSmith,6.771
69,The Prophecy,Fantasy Horror Thriller ChristopherWalken EliasKoteas VirginiaMadsen GregoryWiden,6.514
70,Smoke,Comedy Drama HarveyKeitel WilliamHurt GiancarloEsposito WayneWang,7.249
71,Strange Days,Crime Drama SciFi Thriller RalphFiennes AngelaBassett TomSizemore KathrynBigelow,7.012
72,Three Wishes,Drama Fantasy PatrickSwayze MaryElizabethMastrantonio JosephMazzello MarthaCoolidge,7.022
73,"To Wong Foo, Thanks for Everything! Julie Newmar",Comedy PatrickSwayze WesleySnipes JohnLeguizamo BeebanKidron,7.278
74,A Walk in the Clouds,Drama Romance KeanuReeves AitanaSánchez-Gijón AnthonyQuinn AlfonsoAráu,7.208
75,Before the Rain,Drama War KatrinCartlidge RadeSerbedzija GrégoireColin MilčoMančevski,7.415
76,Before Sunrise,Drama Romance EthanHawke JulieDelpy AndreaEckert RichardLinklater,7.972
77,The Cure,Drama Family BradRenfro JosephMazzello AnnabellaSciorra PeterHorton,7.911
78,Clerks,Comedy BrianO'Halloran JeffAnderson JasonMewes KevinSmith,7.426
79,Don Juan DeMarco,Romance Drama Comedy JohnnyDepp MarlonBrando FayeDunaway JeremyLeven,6.71
80,Death and the Maiden,Drama Thriller Mystery SigourneyWeaver BenKingsley StuartWilson RomanPolanski,7.129
81,Dolores Claiborne,Crime Drama Mystery KathyBates JenniferJasonLeigh JudyParfitt TaylorHackford,7.253
82,Dumb and Dumber,Comedy JimCarrey JeffDaniels LaurenHolly PeterFarrelly,6.6
83,Exotica,Drama Mystery BruceGreenwood MiaKirshner EliasKoteas AtomEgoyan,6.7
84,Ed Wood,Comedy Drama History JohnnyDepp MartinLandau SarahJessicaParker TimBurton,7.505
85,A Goofy Movie,Romance Animation Family Comedy Adventure BillFarmer JasonMarsden RobPaulsen KevinLima,6.96
86,Fluke,Drama Family Fantasy SamuelL.Jackson MatthewModine NancyTravis CarloCarlei,7.165
87,Hoop Dreams,Documentary WilliamGates ArthurAgee SteveJames SteveJames,7.662
88,Heavenly Creatures,Drama Fantasy MelanieLynskey KateWinslet SarahPeirse PeterJackson,7.006
89,Immortal Beloved,Drama Music Romance GaryOldman JeroenKrabbé IsabellaRossellini BernardRose,7.1
90,Interview with the Vampire,Horror Romance BradPitt TomCruise KirstenDunst NeilJordan,7.378
91,Star Wars,Adventure Action SciFi MarkHamill HarrisonFord CarrieFisher GeorgeLucas,8.207
92,Little Women,Drama Romance WinonaRyder GabrielByrne TriniAlvarado GillianArmstrong,7.904
93,A Little Princess,Drama Family Fantasy LieselMatthews EleanorBron LiamCunningham AlfonsoCuarón,7.636
94,Ladybird Ladybird,Drama CrissyRock VladimirVega SandieLavelle KenLoach,7.214
95,Legends of the Fall,Adventure Drama Romance War BradPitt AnthonyHopkins AidanQuinn EdwardZwick,7.389
96,Mi Vida Loca,Crime Drama AngelAviles SeidyLópez JacobVargas AllisonAnders,7.161
97,The Madness of King George,Comedy Drama History NigelHawthorne HelenMirren IanHolm NicholasHytner,6.736
98,Miracle on 34th Street,Fantasy Drama Family RichardAttenborough ElizabethPerkins DylanMcDermott LesMayfield,7.4
99,My Family,Comedy Drama EdwardJamesOlmos JimmySmits EsaiMorales GregoryNava,7.5
100,Murder in the First,Crime Drama ChristianSlater KevinBacon GaryOldman MarcRocco,7.176
101,Nobody's Fool,Drama Comedy PaulNewman BruceWillis MelanieGriffith RobertBenton,6.835
102,Nell,Drama Thriller JodieFoster LiamNeeson NatashaRichardson MichaelApted,6.567
103,Natural Born Killers,Crime Thriller Drama WoodyHarrelson JulietteLewis RobertDowneyJr. OliverStone,7.076
104,Only You,Comedy Drama Romance MarisaTomei RobertDowneyJr. BonnieHunt NormanJewison,6.823
105,Once Were Warriors,Drama RenaOwen TemueraMorrison MamaengaroaKerr-Bell LeeTamahori,7.386
106,Outbreak,Action Drama SciFi Thriller DustinHoffman ReneRusso MorganFreeman WolfgangPetersen,6.528
107,Pulp Fiction,Thriller Crime JohnTravolta SamuelL.Jackson UmaThurman QuentinTarantino,8.49
108,Quiz Show,History Drama JohnTurturro RobMorrow RalphFiennes RobertRedford,7.26
109,The Quick and the Dead,Action Western SharonStone GeneHackman RussellCrowe SamRaimi,6.515
110,The Swan Princess,Animation MichelleNicastro JackPalance HowardMcGillin RichardRich,6.588
111,The Secret of Roan Inish,Drama Family Fantasy JeniCourtney EileenColgan MickLally JohnSayles,6.7
112,Stargate,Action Adventure SciFi KurtRussell JamesSpader JayeDavidson RolandEmmerich,6.973
113,The Shawshank Redemption,Drama Crime TimRobbins MorganFreeman BobGunton FrankDarabont,8.702
114,Shallow Grave,Crime Thriller KerryFox ChristopherEccleston EwanMcGregor DannyBoyle,7.0
115,Swimming with Sharks,Crime Comedy KevinSpacey FrankWhaley MichelleForbes GeorgeHuang,6.628
116,The Sum of Us,Comedy Drama Romance JackThompson JohnPolson DeborahKennedy KevinDowling,6.887
117,Tales from the Crypt: Demon Knight,Horror Comedy Thriller BillyZane WilliamSadler JadaPinkettSmith ErnestR.Dickerson,6.821
118,Star Trek: Generations,SciFi Action Adventure Thriller PatrickStewart JonathanFrakes BrentSpiner DavidCarson,6.518
119,Tommy Boy,Comedy ChrisFarley DavidSpade BrianDennehy PeterSegal,6.801
120,Vanya on 42nd Street,Drama Romance WallaceShawn JulianneMoore LarryPine LouisMalle,6.734
121,The Walking Dead,Drama War AllenPayne EddieGriffin JoeMorton PrestonA.WhitmoreII,6.8
122,What's Eating Gilbert Grape,Romance Drama JohnnyDepp LeonardoDiCaprio JulietteLewis LasseHallström,7.677
123,While You Were Sleeping,Comedy Drama Romance SandraBullock BillPullman PeterGallagher JonTurteltaub,6.953
124,The War,Drama ElijahWood KevinCostner MareWinningham JonAvnet,7.119
125,Muriel's Wedding,Drama Comedy Romance ToniCollette BillHunter RachelGriffiths P.J.Hogan,6.889
126,Ace Ventura: Pet Detective,Comedy Mystery JimCarrey SeanYoung CourteneyCox TomShadyac,6.544
127,"The Adventures of Priscilla, Queen of the Desert",Drama Comedy TerenceStamp HugoWeaving GuyPearce StephanElliott,7.259
128,Bitter Moon,Thriller Drama Romance HughGrant KristinScottThomas EmmanuelleSeigner RomanPolanski,7.09
129,Bullets Over Broadway,Action Comedy Thriller JohnCusack DianneWiest JenniferTilly WoodyAllen,7.144
130,Clear and Present Danger,Action Drama Thriller HarrisonFord WillemDafoe AnneArcher PhillipNoyce,6.614
131,The Client,Drama Thriller Crime Mystery SusanSarandon TommyLeeJones Mary-LouiseParker JoelSchumacher,6.703
132,"Corrina, Corrina",Comedy Drama Family Romance WhoopiGoldberg RayLiotta TinaMajorino JessieNelson,6.667
133,Crooklyn,Comedy Drama AlfreWoodard DelroyLindo DavidPatrickKelly SpikeLee,6.841
134,The Crow,Fantasy Action Thriller BrandonLee RochelleDavis ErnieHudson AlexProyas,7.5
135,Forrest Gump,Comedy Drama Romance TomHanks RobinWright GarySinise RobertZemeckis,8.48
136,Four Weddings and a Funeral,Comedy Drama Romance HughGrant AndieMacDowell JamesFleet MikeNewell,6.759
137,I Like It Like That,Comedy Drama Romance LaurenVélez JonSeda TomasMelly DarnellMartin,7.0
138,The Jungle Book,Adventure Drama Family JasonScottLee CaryElwes LenaHeadey StephenSommers,7.277
139,"The Wonderful, Horrible Life of Leni Riefenstahl",Documentary Foreign LeniRiefenstahl MarleneDietrich WalterFrentz RayMüller,7.1
140,The Lion King,Family Animation Drama JonathanTaylorThomas MatthewBroderick JamesEarlJones RogerAllers,8.259
141,The Mask,Romance Comedy Crime Fantasy JimCarrey CameronDiaz NancyFish ChuckRussell,6.925
142,Maverick,Action Adventure Comedy Drama Western MelGibson JodieFoster JamesGarner RichardDonner,6.85
143,The Paper,Comedy Drama MichaelKeaton RobertDuvall GlennClose RonHoward,6.606
144,Reality Bites,Drama WinonaRyder BenStiller JaneaneGarofalo BenStiller,6.594
145,Red Rock West,Crime Drama Thriller NicolasCage DennisHopper LaraFlynnBoyle JohnDahl,6.638
146,Speed,Action Adventure Crime KeanuReeves DennisHopper SandraBullock JandeBont,7.112
147,True Lies,Action Thriller ArnoldSchwarzenegger JamieLeeCurtis TomArnold JamesCameron,7.041
148,Wyatt Earp,Drama Action Western KevinCostner DennisQuaid GeneHackman LawrenceKasdan,6.783
149,Jason's Lyric,Crime Drama Romance AllenPayne JadaPinkettSmith BokeemWoodbine DougMcHenry,6.697
150,The Secret Adventures of Tom Thumb,Animation SciFi NickUpton DeborahCollard FrankPassingham DaveBorthwick,6.645
151,Frank and Ollie,Documentary  TheodoreThomas,7.38
152,Mirage,Action Thriller EdwardJamesOlmos SeanYoung JamesAndronica PaulWilliams,6.91
153,In the Mouth of Madness,Horror Mystery Thriller SamNeill JulieCarmen JürgenProchnow JohnCarpenter,7.226
154,8 Seconds,Drama Romance LukePerry StephenBaldwin CynthiaGeary JohnG.Avildsen,7.3
155,Above the Rim,Crime Drama DuaneMartin TupacAmaruShakur BernieMac JeffPollack,6.9
156,Addams Family Values,Comedy Family Fantasy RaúlJuliá AnjelicaHuston ChristopherLloyd BarrySonnenfeld,6.955
157,Martin Lawrence: You So Crazy,Comedy MartinLawrence ThomasSchlamme,6.7
158,The Age of Innocence,Drama Romance DanielDay-Lewis MichellePfeiffer WinonaRyder MartinScorsese,6.998
159,Black Beauty,Action Adventure Drama Family AlanCumming SeanBean DavidThewlis CarolineThompson,6.8
160,Blue Sky,Drama Romance JessicaLange TommyLeeJones PowersBoothe TonyRichardson,7.1
161,A Bronx Tale,Drama Crime RobertDeNiro ChazzPalminteri LilloBrancato RobertDeNiro,7.8
162,Carlito's Way,Action Crime Drama Thriller AlPacino SeanPenn PenelopeAnnMiller BrianDePalma,7.829
163,Dangerous Game,Drama HarveyKeitel Madonna JamesRusso AbelFerrara,7.408
164,Dave,Comedy KevinKline SigourneyWeaver FrankLangella IvanReitman,6.656
165,Dazed and Confused,Comedy Drama JasonLondon RoryCochrane WileyWiggins RichardLinklater,7.346
166,Demolition Man,Crime Action SciFi SylvesterStallone WesleySnipes SandraBullock MarcoBrambilla,6.668
167,The Endless Summer 2,Documentary  BruceBrown,7.4
168,With Honors,Comedy Drama JoePesci BrendanFraser MoiraKelly AlekKeshishian,6.8
169,The Firm,Drama Mystery Thriller TomCruise JeanneTripplehorn GeneHackman SydneyPollack,6.746
170,Fresh,Crime Drama Thriller SeanNelson GiancarloEsposito SamuelL.Jackson BoazYakin,6.972
171,The Fugitive,Adventure Action Thriller Crime Mystery HarrisonFord TommyLeeJones SelaWard AndrewDavis,7.457
172,Heaven & Earth,History War Action Drama TommyLeeJones RobertJohnBurke TimothyCarhart OliverStone,6.692
173,Hot Shots! Part Deux,Action Comedy War CharlieSheen LloydBridges ValeriaGolino JimAbrahams,6.544
174,The House of the Spirits,Romance Drama MerylStreep GlennClose JeremyIrons BilleAugust,6.865
175,The Hudsucker Proxy,Comedy Drama TimRobbins JenniferJasonLeigh PaulNewman JoelCoen,7.085
176,In the Line of Fire,Action Drama Thriller Crime Mystery ClintEastwood ReneRusso JohnMalkovich WolfgangPetersen,6.967
177,In the Name of the Father,Drama DanielDay-Lewis PetePostlethwaite EmmaThompson JimSheridan,7.908
178,Judgment Night,Action Thriller Crime EmilioEstevez CubaGoodingJr. DenisLeary StephenHopkins,6.556
179,Jurassic Park,Adventure SciFi SamNeill LauraDern JeffGoldblum StevenSpielberg,7.934
180,Kalifornia,Thriller Crime BradPitt DavidDuchovny JulietteLewis DominicSena,6.535
181,King of the Hill,Drama JesseBradford JeroenKrabbé LisaEichhorn StevenSoderbergh,6.881
182,M. Butterfly,Drama Romance JeremyIrons JohnLone BarbaraSukowa DavidCronenberg,6.576
183,The Man without a Face,Drama MelGibson NickStahl MargaretWhitton MelGibson,6.538
184,Manhattan Murder Mystery,Comedy Mystery WoodyAllen DianeKeaton JerryAdler WoodyAllen,7.288
185,Menace II Society,Drama Action Crime TyrinTurner LarenzTate GlennPlummer AlbertHughes,7.5
186,What Happened Was...,Thriller Comedy Drama Romance KarenSillas TomNoonan TomNoonan,7.148
187,Much Ado About Nothing,Drama Comedy Romance KennethBranagh RichardBriers MichaelKeaton KennethBranagh,6.957
188,Mr. Jones,Drama Romance RichardGere LenaOlin AnneBancroft MikeFiggis,6.7
189,Mrs. Doubtfire,Comedy Drama Family RobinWilliams SallyField PierceBrosnan ChrisColumbus,7.18
190,The New Age,Comedy Drama PeterWeller JudyDavis PatrickBauchau MichaelTolkin,7.516
191,No Escape,Action Drama SciFi Thriller RayLiotta LanceHenriksen StuartWilson MartinCampbell,6.91
192,Orlando,Romance Drama Fantasy TildaSwinton BillyZane LothaireBluteau SallyPotter,6.97
193,A Perfect World,Crime Drama Thriller KevinCostner ClintEastwood LauraDern ClintEastwood,7.479
194,Philadelphia,Drama TomHanks DenzelWashington JasonRobards JonathanDemme,7.731
195,The Piano,Drama Romance HollyHunter HarveyKeitel SamNeill JaneCampion,7.401
196,Poetic Justice,Drama Romance JanetJackson TupacAmaruShakur ReginaKing JohnSingleton,6.896
197,The Ref,Comedy DenisLeary JudyDavis KevinSpacey TedDemme,6.514
198,The Remains of the Day,Drama Romance AnthonyHopkins EmmaThompson JamesFox JamesIvory,7.375
199,Robin Hood: Men in Tights,Comedy CaryElwes DomDeLuise RogerRees MelBrooks,6.582
200,Romper Stomper,Action Drama Thriller RussellCrowe DanielPollock JacquelineMcKenzie GeoffreyWright,6.589
201,Rudy,Drama SeanAstin JonFavreau NedBeatty DavidAnspaugh,7.36
202,Schindler's List,Drama History War LiamNeeson BenKingsley RalphFiennes StevenSpielberg,8.569
203,Searching for Bobby Fischer,Drama MaxPomeranc JoeMantegna JoanAllen StevenZaillian,7.134
204,Second Best,Drama WilliamHurt NathanYapp KeithAllen ChrisMenges,6.6
205,Serial Mom,Comedy Crime Horror Thriller KathleenTurner SamWaterston RickiLake JohnWaters,6.766
206,Shadowlands,Drama Romance AnthonyHopkins DebraWinger JohnWood RichardAttenborough,6.937
207,Short Cuts,Comedy Drama JulianneMoore AndieMacDowell TimRobbins RobertAltman,7.229
208,Sleepless in Seattle,Comedy Drama Romance TomHanks MegRyan BillPullman NoraEphron,6.714
209,Blade Runner,SciFi Drama Thriller HarrisonFord RutgerHauer SeanYoung RidleyScott,7.932
210,Super Mario Bros.,Adventure Comedy Family Fantasy BobHoskins JohnLeguizamo DennisHopper AnnabelJankel,7.77
211,Thirty Two Short Films About Glenn Gould,Drama Music ColmFeore DerekKeurvorst DerekKeurvorst FrançoisGirard,7.216
212,The Nightmare Before Christmas,Fantasy Animation Family DannyElfman ChrisSarandon CatherineO'Hara HenrySelick,7.841
213,Tombstone,Action Adventure Drama History Western KurtRussell ValKilmer SamElliott GeorgeP.Cosmatos,7.603
214,True Romance,Action Thriller Crime Romance ChristianSlater PatriciaArquette MichaelRapaport TonyScott,7.542
215,The War Room,Documentary History JamesCarville GeorgeStephanopoulos HeatherBeckel D.A.Pennebaker,7.227
216,Killer,Thriller Drama Romance AnthonyLaPaglia MimiRogers MattCraven MarkMalone,7.005
217,Welcome to the Dollhouse,Comedy Drama HeatherMatarazzo VictoriaDavis ChristinaBrucato ToddSolondz,7.183
218,Germinal,Drama Romance Miou-Miou GérardDepardieu Renaud ClaudeBerri,6.693
219,Cronos,Drama Horror Thriller FedericoLuppi RonPerlman ClaudioBrook GuillermodelToro,6.665
220,"Ciao, Professore!",Comedy Foreign PaoloVillaggio GigioMorra PaoloBonacelli LinaWertmüller,7.148
221,The Little Rascals,Romance Comedy Family BugHall TravisTedford BrittanyAshtonHolmes PenelopeSpheeris,6.766
222,À la mode,Comedy JeanYanne KenHigelin FlorenceDarel RémyDuchemin,8.167
223,The Celluloid Closet,History Documentary LilyTomlin TonyCurtis SusanSarandon RobEpstein,7.13
224,Ghost,Fantasy Drama Thriller Mystery Romance PatrickSwayze DemiMoore WhoopiGoldberg JerryZucker,7.207
225,Aladdin,Animation Family Comedy Adventure Fantasy Romance ScottWeinger RobinWilliams LindaLarkin RonClements,7.644
226,Terminator 2: Judgment Day,Action Thriller SciFi ArnoldSchwarzenegger LindaHamilton RobertPatrick JamesCameron,8.097
227,Dances with Wolves,Adventure Drama Western KevinCostner MaryMcDonnell GrahamGreene KevinCostner,7.852
228,Batman,Fantasy Action JackNicholson MichaelKeaton KimBasinger TimBurton,7.214
229,The Silence of the Lambs,Crime Drama Thriller JodieFoster AnthonyHopkins ScottGlenn JonathanDemme,8.343
230,Snow White and the Seven Dwarfs,Fantasy Animation Family AdrianaCaselotti LucilleLaVerne HarryStockwell DavidHand,7.1
231,Beauty and the Beast,Romance Family Animation Fantasy Music PaigeO'Hara RobbyBenson RichardWhite GaryTrousdale,7.732
232,Pretty Woman,Romance Comedy JuliaRoberts RichardGere RalphBellamy GarryMarshall,7.445
233,The Wild Bunch,Adventure Western WilliamHolden ErnestBorgnine RobertRyan SamPeckinpah,7.642
234,The Wooden Man's Bride,Drama Foreign Romance GuBao-Ming MingjunKao LanWang HuangJianxin,6.9
235,A Great Day in Harlem,  JeanBach,7.2
236,Fargo,Crime Drama Thriller WilliamH.Macy FrancesMcDormand SteveBuscemi JoelCoen,7.87
237,Homeward Bound II: Lost in San Francisco,Adventure Comedy Drama Family MichaelJ.Fox SallyField RalphWaite DavidR.Ellis,6.526
238,Jane Eyre,Drama Romance AnnaPaquin CharlotteGainsbourg WilliamHurt FrancoZeffirelli,7.234
239,The Aristocats,Animation Comedy Family Adventure PhilHarris SterlingHolloway ScatmanCrothers WolfgangReitherman,7.293
240,Halfaouine: Boy of the Terraces,Comedy Drama SelimBoughedir MustafaAdouani RabiaBenAbdallah FéridBoughedir,6.8
241,The Last Supper,Comedy Thriller Crime Drama CameronDiaz RonEldard CourtneyB.Vance StacyTitle,6.638
242,Primal Fear,Crime Drama Mystery Thriller RichardGere EdwardNorton LauraLinney GregoryHoblit,7.652
243,Land and Freedom,Drama History War Romance IanHart RosanaPastor FrédéricPierrot KenLoach,7.4
244,Jack & Sarah,Comedy Drama Romance RichardE.Grant SamanthaMathis JudiDench TimSullivan,6.76
245,Mission: Impossible,Adventure Action Thriller TomCruise JonVoight EmmanuelleBéart BrianDePalma,6.958
246,DragonHeart,Fantasy DennisQuaid DavidThewlis PetePostlethwaite RobCohen,6.529
247,James and the Giant Peach,Adventure Animation Family MiriamMargolyes JoannaLumley PetePostlethwaite HenrySelick,6.557
248,Mystery Science Theater 3000: The Movie,Comedy SciFi MichaelJ.Nelson TraceBeaulieu JimMallon JimMallon,6.73
249,Space Jam,Animation Comedy Drama Family Fantasy MichaelJordan WayneKnight BillyWest JoePytka,6.838
250,Some Folks Call It a Sling Blade,Drama Thriller BillyBobThornton MollyRingwald J.T.Walsh GeorgeHickenlooper,6.9
251,The Run of the Country,Drama Romance AlbertFinney MattKeeslar VictoriaSmurfit PeterYates,6.9
252,Tigrero: A Film That Was Never Made,Documentary Foreign JimJarmusch SamuelFuller MikaKaurismäki,6.9
253,It's My Party,Drama EricRoberts GregoryHarrison LeeGrant RandalKleiser,6.548
254,Country Life,Drama Romance GretaScacchi KerryFox SamNeill MichaelBlakemore,6.8
255,Mrs. Winterbourne,Comedy Romance Drama ShirleyMacLaine RickiLake BrendanFraser RichardBenjamin,6.756
256,The Substitute,Action Thriller TomBerenger RaymondCruz MarcAnthony RobertMandel,6.842
257,True Crime,Crime Mystery Thriller AliciaSilverstone KevinDillon BillNunn PatVerducci,6.6
258,To Cross the Rubicon, BillyBurke JeffreyDeanMorgan LorraineDevonWilke BarryCaillier,9.0
259,Angus,Comedy Drama Family Romance PerryAnzilotti KathyBates RobertCurtisBrown PatrickReadJohnson,6.507
260,Faces,Drama GenaRowlands JohnMarley LynnCarlin JohnCassavetes,7.244
261,Oliver & Company,Animation Comedy Family JoeyLawrence BillyJoel CheechMarin GeorgeScribner,6.717
262,Dead Man,Drama Fantasy Western JohnnyDepp GaryFarmer CrispinGlover JimJarmusch,7.289
263,Switchblade Sisters,Action Crime Drama JoanneNail RobbieLee AsherBrauner JackHill,6.61
264,"The Haunted World of Edward D. Wood, Jr.",Documentary MailaNurmi DoloresFuller PaulMarco BrettThompson,7.6
265,The Craft,Drama Fantasy Horror Thriller RobinTunney FairuzaBalk NeveCampbell AndrewFleming,6.744
266,Cold Comfort Farm,Comedy Drama Romance EileenAtkins KateBeckinsale SheilaBurrell JohnSchlesinger,6.7
267,"Institute Benjamenta, or This Dream People Call Human Life",Animation Drama AliceKrige MarkRylance GottfriedJohn StephenQuay,7.597
268,The Rock,Action Adventure Thriller SeanConnery NicolasCage EdHarris MichaelBay,7.094
269,A Close Shave,Family Animation Comedy PeterSallis AnneReid NickPark,7.539
270,Force of Evil,Drama Action Crime JohnGarfield ThomasGomez MarieWindsor AbrahamPolonsky,6.612
